Model,Manufacturer,Firebox Volume,Emission Rate (grams/hr),Heat Ouput Range (BTUs),Heat Output Upper (BTUs),Heat Output Lower (BTUs),Efficiency,Type,Subtype,Fuel Type,Test Method,CO,NSPS Compliance 2020
Princess PI29 Insert,"Blaze King Industries, Inc.",2.63,1,30194-9023,30194,9023,80,Wood Stove,Catalytic Stove,Crib Wood,,0.704,Yes
"Q-Tee II USA Series: Q-Tee II USA, Q-Tee II Classic USA, Q-Tee II C USA, Q-Tee II C Classic USA, Q-Tee II C SST USA, Q-Tee II C SST Classic USA, Q-Tee Insert USA, Q-Tee Insert Classic USA",Rais A/S,0.9,0.7,20005-11600,20005,11600,73,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.8,Yes
"Quadra-Fire 31M-ACC-C, Quadra-Fire Discovery-II-C, Quadra-Fire FF-WP-200",Hearth and Home Technologies,1.89,1.9,29078-13951,29078,13951,73,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.6,Yes
Quadra-Fire 57ST-ACC-C,Hearth and Home Technologies,2.95,1.8,38284-12772,38284,12772,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,2.5,Yes
Quadra-Fire Classic Bay 1200-C,Hearth and Home Technologies,Not Applicable,1,30851-11074,30851,11074,73,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.001,Yes
"Quadra-Fire Expedition I, Vermont Castings Gifford-CB, Vermont Castings Gifford-BM",Hearth and Home Technologies,1.45,1.9,27361-23747,27361,23747,65,Wood Stove,Non-Catalytic Stove,Crib Wood,,2.54,Yes
"Quadra-Fire Expedition II, Vermont Castings Montpelier II",Hearth and Home Technologies,2.37,1.8,26785-24689,26785,24689,71,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.747,Yes
"Quadra-Fire Santa Fe-C, Quadra-Fire Santa Fe I-C, Quadra-Fire Castile-C, Quadra-Fire Castile I-C",Hearth and Home Technologies,Not Applicable,1.1,22440-5831,22440,5831,66,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.17,Yes
"Quadra-Fire TREKKER-MBK, TREKKER-PMH, TREKKER-TWL
TREKKERI-MBK, TREKKERI-PMH, TREKKERI-TWL (formerly the Quadra Fire Mount Vernon E2-C, Quadra Fire Mount Vernon E2-C Insert)",Hearth and Home Technologies,Not Applicable,0.7,39428-12682,39428,12682,78,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.15,Yes
Quadra-fire Classic Bay 1200i-C,Hearth and Home Technologies,Not Applicable,0.78,33925-10182,33925,10182,64,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.14,Yes
RV100 Classic,Ravelli SRL,Not Applicable,0.7,34500-10750,34500,10750,80,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.04,Yes
"RV120 Touch, Atena V, Vitoria V",Ravelli SRL,Not Applicable,0.62,37800-12900,37800,12900,79,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.05,Yes
Roma (034-00-001A),Ravelli SRL,Not Applicable,0.74,31500-10300,31500,10300,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.16,Yes
"S160AGL, S160TGL, C160AGL, C160TGL, T160GL, WXS2016 ",Innovative Hearth Products,1.54,1.7,39447-14331,39447,14331,69,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.8,Yes
"STUV 1658IN, STUV 1658CUBE, STUV 1658H, STUV 1658-Z",STUV AMERICA Inc.,1.59,1.47,27015-22432,27015,22432,71,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.6,Yes
"Summit LE, Summit Classic LE, Alderlea T6 LE, Summit Insert LE ",Pacific Energy Fireplace Products Limited,2.5,1.8,41275-16102,41275,16102,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.02,Yes
"Super LE, Alderlea T5 Insert LE, Super Insert LE, Super Classic LE, Alderlea T5 LE",Pacific Energy Fireplace Products Limited,2.14,1.8,38177-12518,38177,12518,71,Wood Stove,Non-Catalytic Stove,Crib Wood,,2,Yes
Thelin Gnome,Thelin Company Inc.,Not Applicable,0.98,16532-11523,16532,11523,75,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.12,Yes
Thelin Parlour 3000,Thelin Company Inc.,Not Applicable,0.92,28172-14387,28172,14387,81,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.11,Yes
Thelin Parlour T-4000,Thelin Company Inc.,1.32,1.8,30945-13312,30945,13312,71,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.54,Yes
True North 40 insert,Pacific Energy Fireplace Products Limited,Not Applicable,0.69,25617-6033,25617,6033,73,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.83,Yes
True North TN10,Pacific Energy Fireplace Products Limited,0.81,1.4,17623-13084,17623,13084,73,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.77,Yes
"True North TN20 Series B, TN Insert Series B",Pacific Energy Fireplace Products Limited,1.996,1.6,29208-13931,29208,13931,73,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.77,Yes
True North TN40,Pacific Energy Fireplace Products Limited,Not Applicable,1.4,27949-6672,27949,6672,72,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.27,Yes
Vermont Castings Aspen C3,Hearth and Home Technologies,1.25,1.8,25549-22960,25549,22960,71,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.6,Yes
Vermont Castings Encore 2040-CAT-C,Hearth and Home Technologies,2,1.1,37102-12879,37102,12879,77,Wood Stove,Catalytic Stove,Crib Wood,,2.11,Yes
Vermont Castings Intrepid FlexBurn 2115,Hearth and Home Technologies,1.31,0.6,18502-12480,18502,12480,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.2,Yes
Vermont Castings Intrepid FlexBurn 2115-CAT,Hearth and Home Technologies,1.31,0.3,15906-10665,15906,10665,77,Wood Stove,Catalytic Stove,Crib Wood,,0.82,Yes
WFP100,Hearthstone Quality Home Heating Products Inc.,4.28,1.6,43000-16600,43000,16600,64,Wood Stove,Non-Catalytic Stove,Cord Wood,,2.6,Yes
