Model,Manufacturer,Firebox Volume,Emission Rate (grams/hr),Heat Ouput Range (BTUs),Heat Output Upper (BTUs),Heat Output Lower (BTUs),Efficiency,Type,Subtype,Fuel Type,Test Method,CO,NSPS Compliance 2020
"Medium Wood Stove Series: MWS-2200L, MWS-2200LB, MWS-2200LE, MWS-2200P, MWS-2200PB, MWS-2200PE, 2200L-MWS, 2200LB-MWS, 2200LE-MWS, 2200P-MWS, 2200PB-MWS, 2200PE-MWS, MWS-2200LZ, MWS-2200LBZ, MWS-2200LEZ, MWS-2200PZ, MWS-2200PBZ, MWS-2200PEZ, 2200LZ-MWS, 2200LBZ-MWS, 2200LEZ-MWS, 2200PZ-MWS, 2200PBZ-MWS, 2200PEZ-MWS, HCSM22L, HCSM22LB, HCSM22LE, HCSM22P, HCSM22PB, HCSM22PE",GHP Group,1.94,1.8,44459-12335,44459,12335,72,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.802,Yes
Mini Me,"509 Fabrications, Inc.",Not Applicable,0.36,29388-12567,29388,12567,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.22,Yes
"Spartherm M 700 Series: Spartherm M 700 Insert, Spartherm M 700 ZC, and Spartherm M 700 Module",Spartherm,1.58,1.7,24906-24269,24906,24269,66,Wood Stove,Non-Catalytic Stove,Crib Wood,,1,Yes
"Spartherm S 600 Insert, Spartherm S 600 ZC, Spartherm S 600 Module",Spartherm,0.94,1.8,21299-20345,21299,20345,62,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.8,Yes
"Green Mountain 80-1 (Model 8681), Okemo (Model 8380), Hipster 30 (Model 8280)",Hearthstone Quality Home Heating Products Inc.,3.16,0.53,33424-14846,33424,14846,80,Wood Stove,Hybrid,Crib Wood,,0.2,Yes
C550 V2,"Jotul North America (Jotul U.S.A., Inc.)",1.9,1.1,36214-11757,36214,11757,77,Wood Stove,Catalytic Stove,Crib Wood,,0.3,Yes
"Breckwell and Golden Eagle: SP22E, SP22Ei, 5040E and 5040Ei ",United States Stove Company,Not Applicable,1.3,26724-7177,26724,7177,75,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.23,Yes
"Supero, Ignis, Calor",J. A. Roby Inc. ,1.397,1.5,20184-12704,20184,12704,71,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.2,Yes
"SR-3.2 Series: St-Louis, Helia, Elevate, Chambly, HEA200","Stove Builder International, Inc.",3.15,1.8,83857-29605,83857,29605,76,Wood Stove,Non-Catalytic Stove,Crib Wood,Alternate Test Method Used,1.4,Yes
"Breckwell SP24E (Blazer), SP24iE (Blazer)",United States Stove Company,Not Applicable,0.66,22587-5993,22587,5993,77,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.03,Yes
